frequence of Interceptor attribute
    Type Description                     Count                   Percent
           K.Van Noy                         1                      0.02%
         K.Vickerson                         1                      0.02%
           K.Webster                         2                      0.04%
          K.Williams                         3                      0.07%
            K.Wilson                         4                      0.09%
           K.Wimbley                         1                      0.02%
            K.Wright                         2                      0.04%
              K.Wynn                         1                      0.02%
          Ke.Burnett                         1                      0.02%
         L.Alexander                         1                      0.02%
            L.Asante                         1                      0.02%
            L.Bodden                         7                      0.15%
            L.Briggs                         9                      0.20%
           L.Collins                         8                      0.18%
             L.David                        11                      0.24%
            L.Delmas                         7                      0.15%
          L.Fletcher                         9                      0.20%
             L.Foote                         1                      0.02%
              L.Fort                         1                      0.02%
             L.Guion                         1                      0.02%
              L.Hall                        19                      0.42%
           L.Houston                         1                      0.02%
           L.Johnson                         5                      0.11%
            L.Joyner                         3                      0.07%
           L.Kuechly                        15                      0.33%
            L.Landry                         4                      0.09%
             L.Lewis                         1                      0.02%
            L.Little                         1                      0.02%
           L.Mauldin                         1                      0.02%
          L.McKelvin                        14                      0.31%
              L.Ryan                        13                      0.29%
          L.Sheppard                         2                      0.04%
              L.Sims                         2                      0.04%
            L.Tatupu                         1                      0.02%
           L.Timmons                        11                      0.24%
          L.Torrence                         2                      0.04%
              L.Webb                        17                      0.38%
          L.Williams                         1                      0.02%
           L.Woodley                         4                      0.09%
             M.Adams                        24                      0.53%
         M.Alexander                         3                      0.07%
            M.Barron                         8                      0.18%
             M.Boley                         3                      0.07%
             M.Brown                         3                      0.07%
           M.Bullitt                         2                      0.04%
            M.Burley                         2                      0.04%
           M.Burnett                        10                      0.22%
            M.Burris                         1                      0.02%
            M.Butler                         8                      0.18%
         M.Claiborne                         5                      0.11%
              M.Cole                         4                      0.09%
            M.Cooper                         7                      0.15%
           M.Daniels                         1                      0.02%
            M.Easley                         1                      0.02%
              M.Elam                         1                      0.02%
            M.Farley                         2                      0.04%
            M.Foster                         6                      0.13%
           M.Garrett                         1                      0.02%
         M.Gilchrist                        11                      0.24%
          M.Giordano                         8                      0.18%
           M.Griffin                        18                      0.40%
            M.Haggan                         1                      0.02%
            M.Harris                         2                      0.04%
            M.Hilton                         2                      0.04%
            M.Hooker                         3                      0.07%
              M.Huff                        12                      0.27%
              M.Hull                         1                      0.02%
          M.Humphrey                         2                      0.04%
              M.Hyde                        13                      0.29%
              M.Jack                         1                      0.02%
           M.Jackson                         1                      0.02%
           M.Jenkins                        26                      0.58%
          M.Jennings                         1                      0.02%
           M.Johnson                         4                      0.09%
         M.Kendricks                         3                      0.07%
         M.Killebrew                         2                      0.04%
          M.Kiwanuka                         1                      0.02%
         M.Lattimore                         5                      0.11%
            M.Lawson                         3                      0.07%
             M.Lewis                         1                      0.02%
              M.Maye                         3                      0.07%
          M.McKenzie                         1                      0.02%
            M.Milano                         1                      0.02%
          M.Mitchell                        10                      0.22%
           M.Mohamed                         1                      0.02%
            M.Morgan                         1                      0.02%
              M.Neal                         1                      0.02%
         M.Nicholson                         1                      0.02%
            M.Peters                        19                      0.42%
          M.Peterson                         5                      0.11%
           M.Raymond                         1                      0.02%
          M.Roberson                         1                      0.02%
             M.Roman                         1                      0.02%
           M.Sherels                         1                      0.02%
             M.Smith                         4                      0.09%
           M.Spaight                         1                      0.02%
              M.Te'o                         2                      0.04%
            M.Thomas                         2                      0.04%
             M.Trent                         3                      0.07%
           M.Trufant                         5                      0.11%
              M.Ware                         1                      0.02%
             M.White                         3                      0.07%
          M.Wilhoite                         4                      0.09%
         M.Wilkerson                         2                      0.04%
          M.Williams                        16                      0.35%
            M.Wright                         9                      0.20%
        Mad.Williams                         1                      0.02%
          Mal.Butler                         1                      0.02%
             N.Allen                        14                      0.31%
          N.Asomugha                         5                      0.11%
           N.Barnett                         4                      0.09%
           N.Bellore                         1                      0.02%
            N.Bowman                         5                      0.11%
           N.Bradham                         2                      0.04%
           N.Carroll                         8                      0.18%
          N.Clements                         8                      0.18%
           N.Collins                        11                      0.24%
          N.Hairston                         1                      0.02%
            N.Harper                         1                      0.02%
            N.Hewitt                         2                      0.04%
             N.Jones                         3                      0.07%
           N.Orchard                         1                      0.02%
             N.Perry                         1                      0.02%
             N.Roach                         1                      0.02%
             N.Robey                         3                      0.07%
     N.Robey-Coleman                         2                      0.04%
            N.Stupar                         1                      0.02%
               N.Suh                         1                      0.02%
            N.Thorpe                         1                      0.02%
            N.Vasher                         2                      0.04%
             N.Vigil                         1                      0.02%
            O.Atogwe                         8                      0.18%
             O.Lemon                         1                      0.02%
         O.Scandrick                         8                      0.18%
         O.Umenyiora                         1                      0.02%
            O.Vernon                         1                      0.02%
             P.Adams                         5                      0.11%
         P.Amukamara                         7                      0.15%
           P.Angerer                         2                      0.04%
             P.Brown                         3                      0.07%
          P.Buchanon                         2                      0.04%
             P.Chung                        11                      0.24%
               P.Cox                        12                      0.27%
             P.Desir                         1                      0.02%
            P.Gaines                         1                      0.02%
            P.Kruger                         2                      0.04%
               P.Lee                         1                      0.02%
